Distance,Data
16,(2.622133e-05+5.5084233e-06j)
16,(-7.0787964e-06-5.2486203e-06j)
16,(-4.7416647e-06-5.787005e-06j)
16,(-6.722414e-06-6.19919e-06j)
16,(-7.287373e-06-6.4909727e-06j)
16,(-4.6841974e-06-1.0299301e-05j)
16,(-4.446078e-06-9.900673e-06j)
16,(-5.8138603e-06-7.63297e-06j)
16,(-8.280924e-06-1.3011001e-05j)
16,(-7.937366e-06-6.813057e-06j)
16,(-8.465225e-06-1.2813559e-05j)
16,(-1.7330578e-05-1.5754435e-05j)
16,(-7.146453e-05-8.524729e-06j)
16,(3.0204976e-05+8.959795e-05j)
16,(5.7084853e-05-2.6121419e-05j)
16,(3.597967e-06-2.3623146e-05j)
16,(-6.193783e-06-1.3559736e-05j)
16,(-3.2521248e-06-3.5021953e-06j)
16,(3.1745963e-06-8.488185e-06j)
16,(-6.9624652e-06-1.4706828e-05j)
16,(-1.0741488e-05+6.1817155e-07j)
16,(-1.136305e-05+4.884426e-07j)
16,(-3.7167051e-06-5.605703e-06j)
16,(-8.995883e-06-1.1219997e-05j)
16,(-1.2339811e-05-8.536748e-06j)
18,(-5.7772177e-06+1.3146002e-05j)
18,(-6.239557e-06-4.6637374e-06j)
18,(-5.3681497e-06-4.6891428e-06j)
18,(-5.5265095e-06-5.7696807e-06j)
18,(-6.3226616e-06-6.7456444e-06j)
18,(-6.4921646e-06-7.879907e-06j)
18,(-6.5676886e-06-8.05576e-06j)
18,(-6.802929e-06-4.558085e-06j)
18,(-4.1898616e-06-9.158858e-06j)
18,(-3.120142e-06-9.89471e-06j)
18,(-3.8722724e-06-1.5179393e-05j)
18,(-7.14905e-06-1.5443824e-05j)
18,(-3.8804974e-05-3.55817e-05j)
18,(-2.0923304e-05+5.2597872e-05j)
18,(4.611826e-06+2.1548676e-05j)
18,(2.0171026e-05-1.5429065e-05j)
18,(4.7443936e-07-4.4600215e-06j)
18,(1.3795657e-06-3.2137323e-06j)
18,(6.462811e-06-4.6896057e-06j)
18,(-3.2976288e-07-1.0098468e-05j)
18,(-7.654608e-06-6.4147102e-06j)
18,(-8.490093e-06+5.655366e-06j)
18,(6.0324555e-06-3.447621e-06j)
18,(7.268818e-07-1.0295224e-05j)
18,(-1.2900777e-05-1.3009159e-05j)
18,(-2.3248975e-05-3.297228e-06j)
20,(1.1680883e-05+4.1451985e-06j)
20,(-6.947201e-06-5.8622672e-06j)
20,(-3.6299343e-06-3.397626e-06j)
20,(-6.499296e-06-3.537256e-06j)
20,(-7.144213e-06-3.6569354e-06j)
20,(-2.9894497e-06-6.9853927e-06j)
20,(-2.912026e-06-4.330116e-06j)
20,(-2.7176654e-06-3.147927e-07j)
20,(1.6961644e-06-2.5645243e-06j)
20,(2.2469756e-06-7.4666855e-06j)
20,(-5.2608027e-07-1.4510524e-05j)
20,(-4.3153477e-06-1.4579883e-05j)
20,(-2.7983537e-05-3.0756364e-05j)
20,(-3.0856667e-05+3.811933e-05j)
20,(8.520611e-06+4.5686584e-06j)
20,(1.4695765e-06-5.076875e-06j)
