TimeIndex,PDP
0,5.541268057345308e-12
1,1.4685760952952693e-11
2,4.084328189422526e-11
3,9.91033531118624e-12
4,1.0314825891978108e-10
5,1.9940917789524673e-11
6,6.629670027052385e-12
7,5.2496480770676244e-11
8,3.090132175714361e-11
9,8.29219105014783e-11
10,2.049380494088663e-10
11,3.159996874377044e-11
12,1.3451942194093978e-10
13,2.2089061302357463e-10
14,7.007274003996652e-10
15,9.999894407716782e-10
16,2.016255382073405e-10
17,5.4197134227786164e-11
18,3.25818417101305e-10
19,7.654150170136148e-10
20,1.0565384602878403e-10
21,8.166834198398169e-11
22,1.2429171639783197e-10
23,5.618738043895732e-10
24,1.165247688509598e-10
25,1.9515631916731881e-10
26,2.5653360833325427e-12
27,2.92251060386979e-10
28,8.395554801223956e-10
29,8.003164123115411e-11
30,3.553995054510192e-11
31,1.7455263205616265e-11
32,2.81414814616396e-10
33,1.4293157685562776e-10
34,2.2526296932870874e-10
35,9.616837161082381e-12
36,1.3519574622243266e-10
37,3.2061835526004525e-10
38,9.559744767863123e-11
39,3.6618808239558033e-10
40,2.3487923946473267e-12
41,3.416483768519516e-10
42,1.0753891549554984e-10
43,1.8629066966011784e-11
44,3.729477707665543e-11
45,1.6998559548363955e-10
46,6.507685385216862e-11
47,8.93043515147568e-11
48,1.6916482114786365e-10
49,1.0673360031211295e-10
50,2.574174266954047e-10
51,2.4071393621770015e-11
52,5.201059573998243e-11
53,8.420772935069282e-12
54,5.613543849789009e-11
55,3.453438030303977e-11
56,6.064409280062541e-11
57,4.798510830800591e-13
58,4.7175422828031606e-11
59,7.083531068644847e-12
60,1.6823110852874253e-11
61,6.2751095513391215e-12
62,1.234643323480258e-10
63,6.040942570790069e-11
64,3.397781129908287e-11
65,4.810016134897068e-12
66,3.7745834767992374e-11
67,1.276361425862246e-10
68,5.4338199211341665e-12
69,4.417919543429773e-11
70,2.7799381262898098e-11
71,1.4937734992975542e-10
72,3.151788041916117e-11
73,8.07585942774644e-11
74,1.0446825070265706e-10
75,2.394044170296001e-10
76,9.232395349380241e-11
77,4.10796148189326e-11
78,8.621978898934593e-11
79,1.1387186587279182e-10
80,1.5898271542732277e-10
81,1.271098722023867e-11
82,1.4828856358064924e-10
83,3.0185946633764453e-11
84,1.9695376134534123e-10
85,6.178432393539159e-11
86,7.418967171716637e-11
87,2.145927304654215e-11
88,2.989352976347085e-11
89,1.4263781119840035e-10
90,4.1584144651002704e-11
91,1.5919971911610868e-11
92,4.553265027267775e-11
93,2.2552104479550818e-11
94,2.4511189065257603e-11
95,2.1420200944133396e-11
96,5.907392936954667e-12
97,9.067935022917373e-12
98,4.49283012744327e-11
99,1.502499820559966e-11
100,5.312014510090795e-12
101,3.323963749685397e-12
102,2.596686538581864e-11
103,1.5675542758665323e-11
104,6.237128011896575e-14
105,2.2884042671571893e-11
106,1.3190521979362595e-10
107,2.576240744538983e-11
108,2.6859134347297453e-11
109,3.4978447071858556e-11
110,2.463804892321078e-11
111,9.220398060609057e-12
112,3.1179617565828144e-12
113,1.6499116629310584e-12
114,2.7272592569710356e-11
115,4.0929187857488506e-12
116,1.1649475232242242e-11
117,6.610727957974949e-12
118,2.2146113453335738e-11
119,4.749999094391502e-12
120,1.0541681411590792e-11
121,2.8107319144265937e-12
122,1.2165520816465775e-12
123,3.0291297989090432e-12
124,4.67977127298934e-12
125,4.944873323212359e-12
126,6.9883517241426604e-12
127,2.8433615999086404e-12
128,9.418777819114433e-12
129,1.979432227297775e-12
130,8.44462717569226e-12
131,2.628488242919213e-11
132,2.5167762087010527e-11
133,1.1224725544606637e-11
134,3.4374870772070225e-12
135,1.1451080757001717e-11
136,4.138464919383886e-12
137,1.7622423234739042e-12
138,1.3710247399407323e-11
139,7.58813197626408e-12
140,1.4316875110252782e-11
141,8.671654949480155e-12
142,3.4544150620558797e-12
143,2.992456394130685e-11
144,1.459964314102045e-11
145,1.13466567500969e-11
146,1.9891095641312845e-11
147,6.264058517536961e-12
148,5.315779027922588e-13
149,7.846345459365447e-13
150,1.0609608336795203e-11
