TimeIndex,PDP
0,5.597686983922973e-12
1,2.4478707403022684e-12
2,2.37984660982358e-13
3,3.5185137402125274e-12
4,4.019817142054998e-12
5,1.183517771377031e-11
6,1.0137152483500491e-11
7,2.0532180881502154e-12
8,1.0779034943962867e-11
9,2.0851791169622077e-11
10,4.722676422545818e-11
11,7.098461042819191e-12
12,1.6060491004279034e-11
13,4.183440678027691e-11
14,1.4107897907169826e-10
15,1.3560994120048125e-10
16,2.4481838298340528e-11
17,3.2505316446218563e-12
18,5.7424327297268566e-11
19,1.5192387147994415e-10
20,1.903086166071387e-11
21,2.461564107422435e-11
22,2.3463406797991548e-11
23,1.2473484027600057e-10
24,4.4218141107209344e-11
25,1.769109182246779e-11
26,5.23578649944875e-12
27,6.340911263125271e-11
28,2.2496933692830714e-10
29,6.694729216053544e-12
30,2.070411535622018e-11
31,1.2478514474030693e-12
32,5.67228355344436e-11
33,2.255236711750214e-11
34,3.688540902255517e-11
35,8.612268869903792e-12
36,2.252758238697043e-11
37,6.234451042187378e-11
38,1.8736236818196946e-11
39,5.303849055176383e-11
40,2.5225964764342635e-12
41,3.7418706914406473e-11
42,2.0327621709461308e-11
43,6.2803032402390156e-12
44,1.770834253416009e-11
45,3.0217625271076346e-11
46,2.2476083832015448e-11
47,1.1046272291413103e-11
48,1.195178770209955e-11
49,1.0574734789322869e-11
50,2.740173515428558e-11
51,3.3229308937268133e-13
52,7.625930349222722e-12
53,1.4480683265319043e-12
54,1.0116967613604624e-11
55,9.645642617224379e-12
56,1.2046241222673849e-11
57,1.028720385160949e-11
58,2.8895828493681834e-11
59,1.551171298675571e-11
60,6.791316937490018e-13
61,1.9622696176298417e-13
62,1.1955136607130186e-11
63,4.270364525020791e-11
64,5.1149312556356185e-12
65,1.0099517469297085e-12
66,1.5226980522763956e-11
67,3.7949917018912334e-11
68,6.542265512450274e-12
69,2.1414998932873354e-11
70,3.225927488594365e-12
71,3.3116869033231225e-11
72,1.0004742128983399e-11
73,1.581184523700023e-11
74,5.356766679556521e-11
75,3.3016787101432667e-11
76,1.2434889983893808e-11
77,2.0296577478056316e-12
78,2.73648087259992e-11
79,7.718804340168275e-12
80,1.0804928270474369e-11
81,1.8331227727136164e-12
82,6.475344470748701e-12
83,1.8108564528046465e-11
84,1.5394116070730743e-11
85,1.0735241109592779e-11
86,8.020576428520366e-13
87,1.065093584519534e-11
88,7.435697719997394e-12
89,1.3186780213582434e-11
90,1.512353108921517e-11
91,3.9040144796310855e-13
92,2.4859873399187234e-12
93,6.05656986201127e-12
94,6.024384230228399e-12
95,2.1367833384131694e-12
96,1.6589767471718368e-12
97,8.988153123717013e-12
98,6.603566021370978e-12
99,1.918375900872543e-12
100,6.675673874419329e-12
101,4.283492664735143e-12
102,7.834653682504589e-13
103,1.66334686962974e-13
104,6.706816329407757e-12
105,2.211235090918892e-12
106,2.7229308795086054e-12
107,6.492562306986933e-12
108,5.014404145391259e-12
109,6.999387513884846e-12
110,9.473220292442632e-14
111,2.0305363321044986e-12
112,4.945760633831729e-12
113,8.092101039006866e-12
114,5.2750460173194745e-12
115,8.834545055691853e-13
116,8.015326799287316e-13
117,5.375212747324687e-12
118,4.955558413600489e-12
119,2.737781681530772e-12
120,1.8075577119993426e-12
121,3.893880158462314e-12
122,5.538477305007429e-12
123,1.7336552516944807e-12
124,1.7613703479140244e-13
125,2.0315062548830882e-12
126,2.6350864444035567e-12
127,4.934559068902759e-13
128,7.218235575605518e-13
129,7.205094287038092e-13
130,3.70748965130403e-12
131,2.564995341879037e-12
132,7.515694955665353e-13
133,6.427972077249264e-13
134,2.82684568936552e-12
135,2.6562931883130568e-12
136,1.0263997832081385e-12
137,3.6006874503940217e-12
138,1.3731009806011938e-11
139,8.12554520316245e-12
140,1.4596640131168806e-12
141,1.6269738572543947e-12
142,4.742566070899351e-12
143,3.5403505945643085e-12
144,1.6453918836908347e-12
145,1.719140634901643e-12
146,1.970326146832992e-12
147,2.712454383573621e-12
148,3.617152574057199e-12
149,6.333164709226482e-12
150,7.0462481169531425e-12
