DISTANCE,RSRP_mean,RSRP_var,MCS_mean,MCS_var,SINR_mean,SINR_var,DL Brate_mean,DL Brate_var,BLER_mean,BLER_var
-12,-47.04,0.733061224489795,8.76,0.3902040816326528,11.02,0.14244897959183656,6.8660000000000005,0.1924938775510205,3.96,0.6922448979591835
-10,-61.32,5.650612244897949,5.02,2.428163265306123,7.32,3.405714285714284,4.154,0.8894734693877548,4.14,12.20448979591836
-8,-59.9,0.6632653061224402,5.82,0.5587755102040814,7.02,0.019999999999999973,4.75,0.2813265306122447,4.0,1.3469387755102036
-6,-38.68,0.5485714285714313,4.36,3.867755102040815,16.32,1.201632653061227,4.354,1.9931469387755099,0.02,0.019999999999999993
-4,-59.36,94.60244897959187,6.32,15.283265306122445,8.88,16.107755102040812,5.01,4.116020408163264,3.32,32.466938775510215
-2,-68.08,2.1975510204081705,4.82,3.007755102040816,6.7,0.41836734693877553,4.306,1.7450653061224493,2.58,4.330204081632655
0,-63.46,1.6820408163265264,5.86,0.2453061224489796,7.0,0.0,4.89,0.1784693877551022,3.74,1.3391836734693878
2,-66.92,0.9322448979591912,1.4,2.040816326530612,7.04,0.8146938775510207,2.048,0.5054040816326533,0.42,6.615918367346939
4,-61.92,1.585306122448976,5.18,0.3546938775510204,7.02,0.019999999999999997,4.42,0.09306122448979601,2.82,2.2730612244897963
6,-64.44,1.108571428571426,5.98,0.46897959183673504,6.94,0.05755102040816332,5.048,0.18458775510204087,3.98,3.244489795918368
8,-67.44,1.435102040816329,3.32,1.977142857142857,6.62,0.2812244897959183,3.272,1.0077714285714285,0.8,1.7959183673469388
10,-62.92,0.3199999999999997,5.32,0.22204081632653067,7.0,0.0,4.532,0.04262857142857147,3.62,1.0567346938775513
12,-61.98,0.30571428571428966,1.74,1.1351020408163262,7.0,0.0,2.282,0.3884448979591836,0.12,0.393469387755102
