DISTANCE,RSRP_mean,RSRP_var,MCS_mean,MCS_var,SINR_mean,SINR_var,DL Brate_mean,DL Brate_var,BLER_mean,BLER_var
-12,-49.72,0.24653061224489944,9.06,0.7514285714285721,9.98,0.019999999999999993,6.968,0.2765061224489802,3.9,0.6224489795918366
-10,-50.6,38.122448979591844,9.4,14.285714285714283,10.04,12.488163265306115,7.648,17.653567346938775,4.26,2.767755102040816
-8,-46.26,1.624897959183677,10.32,0.5077551020408162,11.26,0.6861224489795935,8.116,0.44177959183673493,4.18,0.681224489795918
-6,-45.96,0.12081632653061321,11.12,0.9240816326530611,11.68,1.12,8.87,1.004183673469389,3.9,1.3979591836734695
-4,-54.9,0.5816326530612274,6.44,0.2514285714285714,8.0,0.0,5.234,0.028004081632653083,4.04,1.263673469387755
-2,-53.64,2.9289795918367303,1.66,3.249387755102041,9.18,14.885306122448986,2.1242199999999998,1.0515434812244897,-0.24,48.104489795918376
0,-61.48,0.254693877551021,5.36,0.39836734693877535,7.02,0.020000000000000007,4.518,0.12028163265306124,2.28,3.144489795918368
2,-61.5,0.5816326530612231,6.04,0.3248979591836733,7.0,0.0,5.06,0.109387755102041,3.58,2.8608163265306112
4,-63.06,0.3024489795918363,5.96,0.5289795918367346,7.0,0.0,4.9,0.1861224489795917,3.82,3.3751020408163264
6,-66.18,0.8036734693877573,2.76,1.8595918367346933,6.98,0.9587755102040816,2.694,0.842616326530612,2.26,5.012653061224491
8,-58.7,0.8673469387755108,5.72,0.8587755102040817,7.42,0.2485714285714285,4.648,0.3360163265306124,3.88,1.617959183673469
10,-64.34,0.22897959183673539,5.54,0.49836734693877577,7.0,0.0,4.724,0.20308571428571426,3.42,2.493469387755102
12,-43.18,0.3955102040816345,11.96,0.8555102040816318,12.94,0.1391836734693876,10.12,0.6232653061224491,3.76,1.0024489795918365
