TimeIndex,PDP
0,1.9205107410229678e-12
1,2.4034773058147996e-12
2,1.393654097871587e-12
3,1.9859290756384805e-12
4,1.9747993373717463e-12
5,1.2611915103896422e-11
6,2.146392810144242e-12
7,4.538819268002451e-12
8,1.172265328307387e-11
9,1.8858741010980787e-11
10,2.7824234348045618e-11
11,1.541477830180539e-11
12,3.659120476464068e-11
13,4.9266797192687556e-11
14,1.275515563688517e-10
15,1.3968751945168348e-10
16,2.152538414747426e-11
17,1.5898803795420068e-11
18,8.791237162157628e-11
19,2.2360242367560322e-10
20,2.2847224749808578e-11
21,3.540749802946875e-11
22,2.9034875577682576e-11
23,1.1819018174908437e-10
24,5.093553676967155e-11
25,1.1459316091568066e-11
26,1.8205155054419362e-11
27,1.3774871629546155e-10
28,1.6601187092446391e-10
29,1.7713410115642105e-11
30,1.3042267244718248e-11
31,2.0390865420427376e-11
32,6.606141563206556e-11
33,2.3862460531162515e-11
34,2.636281239536377e-11
35,5.5619295113698e-12
36,1.2764157450447111e-11
37,4.668305188080847e-11
38,3.227206094927956e-11
39,1.1759647112657635e-11
40,8.223637428921499e-12
41,4.122539159383921e-11
42,2.3025269151874173e-11
43,8.54403815704286e-12
44,8.327120179264899e-12
45,1.4762589638160312e-11
46,3.121907526692305e-11
47,2.5117474816741644e-11
48,2.5725080125947184e-11
49,1.1324957982182765e-12
50,5.75632814380736e-11
51,2.5961121727260313e-14
52,8.198092601862083e-12
53,5.519835102114292e-13
54,3.009601823587929e-11
55,1.0718683360942524e-11
56,1.4968334454964955e-11
57,1.0843397045193691e-11
58,6.834903403618961e-12
59,1.5314234014536554e-11
60,1.4930329061065298e-12
61,1.6357471257454298e-12
62,2.561379515625366e-11
63,1.899809288161985e-11
64,3.841041967286938e-12
65,1.9133162863343122e-11
66,1.7759682207829267e-11
67,5.937065907749543e-11
68,6.474494339619428e-13
69,1.3476845646039157e-11
70,5.840463835168215e-12
71,3.605052219910041e-11
72,1.3534939771097908e-11
73,1.81997190932774e-11
74,9.070125013706333e-12
75,4.8970602067264116e-11
76,2.9576793985564497e-11
77,2.7055763388085692e-12
78,1.1813986535798181e-11
79,1.1152600207846766e-11
80,1.5422765527358e-11
81,1.1201582150068756e-11
82,9.640161428089791e-12
83,1.0310607125665698e-11
84,8.09157789627496e-12
85,3.5562498506501597e-11
86,1.7106087727367874e-12
87,9.04849125886363e-13
88,9.226201905627722e-13
89,2.460818732867285e-11
90,2.5684489585211793e-11
91,7.279078228004667e-12
92,1.8154263989664041e-12
93,1.931314029392905e-11
94,9.173009068953979e-12
95,2.044726886719159e-13
96,1.1859069391844418e-12
97,4.281252783706677e-12
98,8.801168594264888e-12
99,1.985308790442258e-11
100,2.2451195937011864e-13
101,3.3085214523940503e-12
102,2.4681582134399753e-12
103,1.561430369427727e-11
104,2.517593448519038e-13
105,1.322164351365758e-12
106,2.7235273529121167e-12
107,8.418572336433797e-12
108,3.4759079575972455e-13
109,6.91396153320736e-12
110,2.1580270370836627e-13
111,5.178836274936863e-12
112,7.823197595016401e-12
113,4.5094014036384744e-12
114,4.640924633279634e-13
115,1.0776405296923844e-11
116,8.706358182889172e-12
117,1.4833284440431982e-12
118,1.500549324502624e-12
119,9.578991779866166e-12
120,3.9387226510081465e-12
121,9.187908640550917e-13
122,1.139031144746267e-12
123,4.0522213465769225e-12
124,1.8945225907439844e-12
125,3.702516263524458e-12
126,7.487389977236281e-12
127,2.2982537928030585e-12
128,2.614122403010433e-12
129,3.112917742575569e-13
130,1.6840904018063807e-13
131,6.545533842641248e-13
132,1.1791742853601358e-12
133,9.751619651862763e-13
134,8.923877477319025e-13
135,1.3597014175798548e-12
136,6.544515481114323e-13
137,1.1110279193026029e-12
138,9.111110393679876e-13
139,1.5517817717447297e-12
140,2.2901615973257717e-12
141,9.498601961801525e-13
142,1.801545122765031e-12
143,1.477723158135851e-12
144,1.5594500255187395e-13
145,1.097709736343155e-12
146,1.2370325146462403e-12
147,2.1795221337834306e-13
148,7.745836214814213e-13
149,1.2643831517824017e-12
150,1.2617832144827258e-12
