RSRP, MCS,SINR,DL Brate,BLER,DISTANCE
-63,3,7,2.8,0,0
-64,5,7,4.1,1,0
-63,6,7,5.2,5,0
-64,6,7,5,4,0
-63,6,7,5.1,4,0
-64,6,7,4.9,5,0
-64,6,7,5.1,4,0
-64,6,7,5,4,0
-62,6,7,5,4,0
-61,6,7,4.9,4,0
-62,6,7,5,4,0
-63,6,7,4.6,5,0
-63,5,7,4.3,4,0
-62,6,7,4.7,3,0
-63,6,7,5.2,3,0
-64,6,7,5,3,0
-66,6,7,4.7,3,0
-67,5,7,4.2,4,0
-65,6,7,5,4,0
-64,6,7,4.9,4,0
-65,6,7,5.2,4,0
-65,6,7,4.9,3,0
-65,6,7,5.3,3,0
-65,6,7,5.2,5,0
-65,6,7,5.1,4,0
-65,6,7,5.4,2,0
-65,6,7,5.3,5,0
-65,6,7,5.4,2,0
-65,6,7,5.2,5,0
-64,6,7,4.9,6,0
-63,6,7,4.9,4,0
-64,6,7,5,2,0
-64,6,7,4.8,3,0
-63,6,7,5.4,2,0
-63,6,7,5.4,4,0
-63,6,7,5,6,0
-63,6,7,4.8,4,0
-62,6,7,4.5,5,0
-63,6,7,4.7,4,0
-63,6,7,4.6,3,0
-63,6,7,5.1,4,0
-63,6,7,4.7,5,0
-63,6,7,5.1,3,0
-62,5,7,4.5,3,0
-62,6,7,5,4,0
-62,6,7,5.1,5,0
-62,6,7,5,4,0
-62,6,7,4.7,3,0
-61,6,7,4.8,4,0
-62,6,7,4.8,4,0
-65,5,13,1.5,18,2
-69,1,6,1.5,0,2
-70,1,6,1.9,0,2
-70,2,6,2.6,0,2
-67,4,6,3.5,0,2
-66,5,7,4.3,0,2
-65,6,7,4.9,3,2
-66,5,7,4.1,0,2
-67,3,7,2.9,0,2
-67,1,7,1.9,0,2
-66,1,7,1.7,0,2
-67,1,7,1.9,0,2
-67,1,7,1.7,0,2
-67,1,7,1.8,0,2
-68,0,7,1.5,0,2
-67,0,7,1.6,0,2
-67,0,7,1.6,0,2
-67,0,7,1.6,0,2
-68,0,7,1.5,0,2
-67,0,7,1.5,0,2
-67,0,7,1.6,0,2
-67,0,7,1.5,0,2
-67,0,7,1.6,0,2
-68,1,7,1.7,0,2
-67,1,7,1.8,0,2
-67,1,7,1.8,0,2
-67,1,7,1.8,0,2
-67,1,7,1.8,0,2
-67,1,7,2,0,2
-67,1,7,2.1,0,2
-66,1,7,2,0,2
-66,1,7,2,0,2
-66,2,7,2.1,0,2
-66,2,7,2.1,0,2
-67,1,7,1.9,0,2
-66,1,7,1.8,0,2
-67,0,7,1.7,0,2
-67,1,7,1.9,0,2
-67,2,7,2.1,0,2
-67,2,7,2.1,0,2
-66,2,7,2.1,0,2
-67,2,7,2.1,0,2
-67,1,7,2,0,2
-68,0,7,1.7,0,2
-67,0,7,1.6,0,2
-67,1,7,1.8,0,2
-67,1,7,1.9,0,2
-66,2,7,2.1,0,2
-66,2,7,2.1,0,2
-66,2,7,2.1,0,2
-67,1,7,1.5,1,-2
-66,3,9,1.9,7,-2
-68,1,6,1.5,0,-2
-67,2,7,2.1,0,-2
-68,2,7,2.2,2,-2
-67,4,7,3.9,1,-2
-68,4,7,4,1,-2
-69,6,6,5.2,3,-2
-69,5,7,4.7,2,-2
-69,5,6,4.4,2,-2
-67,6,8,3.7,10,-2
-67,4,7,3.5,0,-2
-67,5,7,4.2,0,-2
-67,6,7,5.4,1,-2
-67,6,7,5.3,5,-2
-68,6,7,5.3,3,-2
-69,6,6,5.3,3,-2
-69,6,6,4.2,7,-2
-73,2,5,2.2,6,-2
-71,1,7,1.5,5,-2
-68,1,6,1.8,0,-2
-70,2,6,2.5,0,-2
-71,3,6,3.1,1,-2
-71,3,6,3.3,1,-2
-70,4,6,3.5,2,-2
-71,4,6,4,2,-2
-70,5,6,4.1,2,-2
-69,6,6,5.2,2,-2
-67,6,7,5.4,2,-2
-67,6,7,5.4,1,-2
-68,6,7,5.3,4,-2
-68,6,7,5.4,1,-2
-68,6,7,5.4,1,-2
-67,6,7,5.3,3,-2
-68,6,7,5.4,2,-2
-67,6,7,5.4,1,-2
-66,6,7,5,5,-2
-67,6,7,5.4,1,-2
-67,6,7,5.4,2,-2
-67,6,7,5.4,3,-2
-67,6,7,5.3,4,-2
-67,6,7,5.4,2,-2
-67,6,7,5.4,3,-2
-67,6,7,5.3,3,-2
-67,6,7,5.3,4,-2
-67,6,7,5.3,4,-2
-68,7,7,5.3,5,-2
-68,5,6,3.9,4,-2
-68,6,6,5.1,2,-2
-68,6,6,5.3,3,-2
-60,4,7,3.7,0,4
-61,5,7,4.7,2,4
-61,6,7,4.5,5,4
-61,6,7,4.7,3,4
-61,5,7,4.2,4,4
-62,6,7,4.7,3,4
-61,6,7,4.7,5,4
-61,6,7,4.9,4,4
-62,5,7,4.5,3,4
-63,4,7,3.9,3,4
-63,5,7,4,3,4
-63,5,7,4.3,2,4
-64,5,7,4.2,5,4
-64,5,7,4.1,2,4
-63,5,7,4.5,2,4
-64,6,7,4.9,3,4
-64,6,7,4.7,4,4
-64,6,7,4.9,4,4
-64,6,7,4.8,4,4
-63,5,7,4.4,5,4
-63,5,7,4.2,1,4
-63,5,7,4.4,4,4
-64,5,7,4.3,4,4
-63,5,7,3.9,6,4
-63,4,7,3.8,1,4
-63,5,7,4.2,1,4
-62,5,7,4.4,1,4
-62,5,7,4.1,6,4
-63,5,7,4.1,2,4
-61,5,7,4.2,0,4
-61,5,7,4.5,2,4
-61,6,7,4.8,2,4
-61,6,7,4.8,4,4
-62,5,7,4.7,2,4
-62,5,7,4.4,2,4
-61,5,7,4.4,3,4
-61,5,7,4.5,3,4
-61,5,7,4.5,3,4
-62,5,7,4.6,3,4
-62,5,7,4.3,2,4
-61,5,7,4.5,2,4
-61,4,8,4,0,4
-61,4,7,4,0,4
-60,5,7,4.4,1,4
-60,6,7,4.7,4,4
-61,6,7,4.7,3,4
-60,5,7,4.5,2,4
-61,6,7,4.8,3,4
-60,5,7,4.5,4,4
-61,5,7,4.5,4,4
-43,24,26,2.7,38,-4
-42,16,24,4,17,-4
-45,4,11,4.1,0,-4
-44,8,12,6.8,0,-4
-44,10,12,8.2,2,-4
-44,10,12,8.4,1,-4
-44,10,12,8.2,1,-4
-44,11,12,9,2,-4
-43,11,13,9.3,1,-4
-43,11,13,9.6,2,-4
-43,11,12,9.3,3,-4
-42,12,13,9.8,1,-4
-43,10,13,8.7,0,-4
-58,6,9,4.9,1,-4
-58,3,7,3.3,0,-4
-63,4,7,3.8,0,-4
-65,3,7,3,2,-4
-68,1,6,1.8,0,-4
-66,3,7,3.3,0,-4
-64,4,7,4,0,-4
-65,5,7,4.1,3,-4
-64,5,7,3.6,6,-4
-65,5,7,4.4,1,-4
-64,6,7,5.3,2,-4
-65,5,7,4.2,5,-4
-65,5,7,4.1,3,-4
-66,5,7,4.7,3,-4
-66,5,7,4.1,5,-4
-66,4,7,3.8,2,-4
-66,4,7,3.9,0,-4
-66,5,7,4.4,3,-4
-67,6,7,5.3,3,-4
-66,6,7,5.1,5,-4
-66,4,7,4,1,-4
-66,4,7,3.7,6,-4
-67,4,6,3.8,2,-4
-67,4,7,3.8,2,-4
-66,5,7,4.3,5,-4
-66,4,7,3.8,2,-4
-66,4,7,3.7,4,-4
-66,4,7,3.8,2,-4
-65,4,7,3.7,3,-4
-65,4,7,4,2,-4
-65,5,7,3.9,6,-4
-65,4,7,3.9,4,-4
-65,4,7,3.9,1,-4
-64,6,7,5.1,3,-4
-64,6,7,5.4,2,-4
-64,6,7,5.4,4,-4
-64,6,7,5.1,5,-4
-64,6,7,5.2,5,6
-64,6,7,5.3,4,6
-64,6,7,5.3,3,6
-65,6,7,4.9,7,6
-64,6,7,4.8,4,6
-64,6,7,5.1,2,6
-64,7,7,5.4,5,6
-63,6,7,5.4,2,6
-63,7,7,5.3,8,6
-63,6,7,5.5,0,6
-63,7,7,5,8,6
-64,6,7,4.8,3,6
-64,6,7,5,3,6
-65,6,7,5.1,5,6
-65,6,7,5.4,2,6
-65,6,7,5.4,3,6
-65,6,7,5.4,2,6
-65,7,7,5.3,5,6
-66,6,7,5.2,6,6
-66,6,7,5,8,6
-66,5,6,4.2,6,6
-67,4,6,3.6,4,6
-67,4,6,3.8,1,6
-67,5,7,4.2,3,6
-67,5,7,4.4,4,6
-65,6,7,5,3,6
-64,6,7,5,3,6
-64,6,7,5.1,4,6
-64,6,7,4.8,6,6
-64,5,7,4.6,4,6
-65,6,7,5,4,6
-64,5,7,4.5,4,6
-64,6,7,5.3,4,6
-64,6,7,5.1,5,6
-64,6,7,5.2,3,6
-64,6,7,5.4,3,6
-63,6,7,5.5,2,6
-64,7,7,5.4,4,6
-64,7,7,5.4,4,6
-64,7,7,5.1,8,6
-63,6,7,4.8,3,6
-64,5,7,4.6,4,6
-64,6,7,5,4,6
-64,6,7,5.4,2,6
-64,7,7,5.3,6,6
-64,6,7,5.4,3,6
-64,7,7,5.4,4,6
-65,6,7,5.3,4,6
-65,6,7,5.4,3,6
-64,6,7,5.4,2,6
-40,8,17,6,1,-6
-39,7,15,6.1,0,-6
-39,10,17,8.4,0,-6
-39,9,17,8,0,-6
-38,7,17,6.2,0,-6
-39,7,17,6.1,0,-6
-39,7,17,6,0,-6
-38,5,17,4.8,0,-6
-38,4,17,4.2,0,-6
-38,4,17,4.3,0,-6
-38,5,17,4.4,0,-6
-38,5,17,4.5,0,-6
-39,4,16,4.1,0,-6
-39,4,17,4.2,0,-6
-38,5,17,4.7,0,-6
-38,4,17,4.4,0,-6
-39,4,16,4.3,0,-6
-38,4,17,4.2,0,-6
-38,5,17,4.4,0,-6
-38,5,17,4.5,0,-6
-38,5,17,4.4,0,-6
-38,4,17,4.3,0,-6
-38,4,17,4.2,0,-6
-39,3,15,3,0,-6
-40,1,15,2.2,0,-6
-40,2,15,2.3,0,-6
-40,1,15,2.2,0,-6
-39,3,16,3.2,0,-6
-39,1,15,2.3,0,-6
-39,1,14,2.3,0,-6
-40,2,14,2.3,0,-6
-40,3,14,3.5,0,-6
-39,2,14,2.5,0,-6
-40,2,14,2.2,0,-6
-40,2,14,2.5,0,-6
-39,3,16,3.2,0,-6
-38,4,17,4.1,0,-6
-38,4,17,4.3,0,-6
-38,4,17,4.4,0,-6
-38,4,17,4.3,0,-6
-38,5,17,4.5,0,-6
-39,4,17,4.3,0,-6
-39,4,17,4.3,0,-6
-39,6,17,6,0,-6
-39,6,17,6.1,0,-6
-38,6,17,6,0,-6
-38,5,17,5.3,0,-6
-38,5,17,4.6,0,-6
-38,5,17,4.7,0,-6
-38,4,17,4.4,0,-6
-65,2,8,1.9,6,8
-66,2,7,2.1,0,8
-66,2,7,2.1,0,8
-68,4,6,3.6,1,8
-69,4,6,3.6,0,8
-68,4,6,3.8,2,8
-67,4,7,3.9,0,8
-67,5,7,4.6,1,8
-66,5,7,4.4,2,8
-67,6,7,5.4,2,8
-69,6,6,4.9,4,8
-70,4,6,3.6,2,8
-69,4,6,3.9,0,8
-68,4,6,3.9,0,8
-68,4,6,3.9,1,8
-68,4,7,3.8,1,8
-68,4,7,3.9,0,8
-68,4,7,3.8,1,8
-67,4,7,3.6,0,8
-67,4,7,3.8,0,8
-67,4,7,3.9,0,8
-67,4,7,4.1,0,8
-66,6,7,4.9,1,8
-66,5,7,4.4,1,8
-67,5,7,4.3,2,8
-69,4,6,3.5,2,8
-68,2,6,2.2,0,8
-69,2,6,2.4,0,8
-69,2,6,2.1,5,8
-69,1,6,2,0,8
-68,2,6,2.1,0,8
-68,2,6,2.1,0,8
-68,1,7,1.9,1,8
-65,2,7,2.2,0,8
-65,3,7,3.1,0,8
-66,4,7,3.9,1,8
-67,4,7,3.9,0,8
-68,4,6,3.7,0,8
-67,4,7,3.9,0,8
-67,4,7,3.8,0,8
-66,4,7,3.9,0,8
-67,4,7,3.9,1,8
-67,3,7,3,3,8
-67,1,7,2,0,8
-68,2,6,2,0,8
-70,1,6,2,0,8
-68,2,6,2.1,0,8
-68,1,6,2,0,8
-67,1,7,1.7,0,8
-67,2,7,2.1,0,8
-60,2,8,2,3,-8
-61,3,7,2.9,0,-8
-60,5,7,4.3,0,-8
-60,6,7,4.8,3,-8
-60,6,7,5,5,-8
-60,7,7,5.3,5,-8
-60,6,7,5,4,-8
-59,6,7,4.9,4,-8
-59,6,7,4.9,3,-8
-59,6,7,5,6,-8
-59,6,7,4.8,4,-8
-59,6,7,4.9,4,-8
-59,6,7,4.6,4,-8
-59,6,7,5,4,-8
-59,6,7,4.9,5,-8
-60,6,7,4.9,4,-8
-60,6,7,5.1,4,-8
-59,6,7,4.8,5,-8
-60,6,7,4.6,5,-8
-59,6,7,4.9,4,-8
-59,6,7,5.1,4,-8
-59,6,7,5.2,5,-8
-59,6,7,4.8,4,-8
-59,6,7,4.9,3,-8
-59,6,7,4.8,5,-8
-60,6,7,4.9,4,-8
-59,6,7,4.8,4,-8
-60,6,7,4.7,4,-8
-59,6,7,4.9,4,-8
-60,6,7,4.7,4,-8
-60,6,7,4.7,3,-8
-60,6,7,4.5,5,-8
-59,6,7,4.9,4,-8
-60,6,7,4.8,5,-8
-61,6,7,4.8,4,-8
-62,6,7,5.2,4,-8
-61,6,7,4.6,5,-8
-61,6,7,5,5,-8
-61,6,7,5.1,4,-8
-61,6,7,4.8,3,-8
-60,6,7,5.2,4,-8
-60,6,7,5,4,-8
-60,6,7,4.9,4,-8
-61,6,7,4.9,4,-8
-61,5,7,4.4,4,-8
-61,6,7,4.8,4,-8
-61,6,7,5,4,-8
-60,6,7,4.3,7,-8
-60,5,7,4.4,2,-8
-61,6,7,4.8,4,-8
-64,5,7,4.1,0,10
-64,5,7,4.1,5,10
-64,5,7,4.6,2,10
-64,5,7,4.1,5,10
-63,5,7,4.6,3,10
-62,6,7,4.7,4,10
-63,6,7,4.6,4,10
-63,6,7,4.9,4,10
-63,6,7,4.7,5,10
-62,5,7,4.3,5,10
-63,5,7,4.5,3,10
-62,6,7,4.8,4,10
-63,5,7,4.4,4,10
-64,5,7,4.4,4,10
-62,5,7,4.4,3,10
-62,5,7,4.4,2,10
-62,5,7,4.6,3,10
-63,5,7,4.6,4,10
-63,5,7,4.6,5,10
-63,6,7,4.7,3,10
-64,5,7,4.5,4,10
-62,6,7,4.8,5,10
-62,5,7,4.3,4,10
-63,5,7,4.3,4,10
-62,6,7,4.7,3,10
-62,6,7,4.7,5,10
-63,5,7,4.5,3,10
-63,5,7,4.4,3,10
-63,6,7,4.8,4,10
-63,6,7,4.8,4,10
-63,6,7,4.7,4,10
-63,5,7,4.6,3,10
-63,5,7,4.5,3,10
-63,5,7,4.6,4,10
-63,5,7,4.5,5,10
-63,5,7,4.5,4,10
-63,5,7,4.6,4,10
-63,6,7,4.9,4,10
-63,5,7,4.2,4,10
-63,5,7,4.6,3,10
-63,5,7,4.5,4,10
-63,6,7,4.7,3,10
-63,5,7,4.4,4,10
-63,5,7,4.4,3,10
-63,5,7,4.3,2,10
-63,5,7,4.5,4,10
-63,6,7,4.7,4,10
-63,6,7,4.9,4,10
-63,5,7,4.3,3,10
-63,5,7,4.3,1,10
-57,10,20,1.7,25,-10
-62,0,7,1.3,0,-10
-62,0,7,1.3,0,-10
-63,2,7,2,0,-10
-63,3,7,3.3,0,-10
-64,4,7,3.9,1,-10
-63,6,7,5,2,-10
-63,6,7,5.2,5,-10
-63,5,7,4.4,6,-10
-63,5,7,4.4,4,-10
-63,5,7,4.2,3,-10
-60,5,7,4.4,5,-10
-59,6,7,4.8,4,-10
-58,6,7,4.8,3,-10
-58,6,7,4.8,5,-10
-58,6,7,5,5,-10
-57,6,8,4.9,4,-10
-62,5,7,4.1,5,-10
-63,5,7,4,2,-10
-63,5,7,4.4,4,-10
-60,5,7,4.4,5,-10
-60,5,7,4.5,4,-10
-60,6,7,5,4,-10
-64,5,7,4.1,5,-10
-62,6,7,4.7,4,-10
-62,5,7,4.2,7,-10
-54,6,8,5,1,-10
-60,6,8,5.1,4,-10
-63,6,7,5.1,5,-10
-64,5,7,4.8,3,-10
-61,5,7,4.3,4,-10
-59,6,7,4.9,5,-10
-59,6,7,4.8,4,-10
-58,6,7,4.7,4,-10
-59,5,7,4.5,3,-10
-60,6,7,4.6,4,-10
-60,6,7,4.7,4,-10
-60,6,7,4.8,4,-10
-60,6,7,4.7,4,-10
-63,6,7,4.6,5,-10
-64,5,7,4,4,-10
-65,5,7,4,4,-10
-64,4,7,3.6,9,-10
-64,4,7,3.5,3,-10
-63,4,7,3.4,5,-10
-63,4,7,3.7,4,-10
-63,4,7,3.4,5,-10
-62,3,7,2.7,2,-10
-63,4,7,4,1,-10
-63,5,7,4,4,-10
-62,0,7,1.6,0,12
-62,1,7,1.9,0,12
-63,2,7,2.4,0,12
-63,2,7,2.3,0,12
-62,4,7,3.6,0,12
-62,4,7,3.6,0,12
-63,4,7,3.7,0,12
-62,4,7,4.1,0,12
-62,4,7,3.9,0,12
-62,3,7,3.3,0,12
-62,2,7,2.5,0,12
-62,2,7,2.2,0,12
-62,0,7,1.6,0,12
-62,0,7,1.7,0,12
-62,1,7,1.8,0,12
-62,2,7,2.3,0,12
-63,1,7,1.9,0,12
-63,2,7,2.2,0,12
-63,2,7,2.1,0,12
-63,2,7,2.2,0,12
-62,2,7,2.4,0,12
-62,2,7,2.4,0,12
-62,2,7,2.3,0,12
-62,2,7,2.5,0,12
-62,2,7,2.4,0,12
-62,2,7,2.4,0,12
-61,2,7,2.5,0,12
-61,2,7,2.2,0,12
-62,2,7,2.3,0,12
-62,3,7,2.9,0,12
-62,2,7,2.3,0,12
-61,1,7,1.8,0,12
-61,1,7,1.9,0,12
-62,2,7,2.3,0,12
-62,2,7,2.3,0,12
-62,2,7,2.3,0,12
-62,1,7,1.9,0,12
-62,0,7,1.6,0,12
-62,1,7,1.5,4,12
-62,1,7,1.4,0,12
-61,0,7,1.5,0,12
-62,0,7,1.7,0,12
-62,1,7,1.8,0,12
-62,1,7,2.1,0,12
-61,1,7,1.9,0,12
-62,1,7,1.9,0,12
-62,2,7,2.3,0,12
-62,2,7,2.4,0,12
-61,2,7,2.2,2,12
-61,1,7,1.8,0,12
-47,7,11,5.9,1,-12
-47,8,11,6.3,3,-12
-45,10,12,7.9,4,-12
-46,9,12,7.4,4,-12
-47,9,11,7.2,4,-12
-47,9,11,6.9,4,-12
-47,9,11,6.7,5,-12
-47,9,11,6.6,5,-12
-47,8,11,6.5,3,-12
-46,9,11,6.8,5,-12
-47,9,11,7.2,4,-12
-47,9,11,6.9,4,-12
-47,9,11,7.2,3,-12
-47,9,11,7.4,3,-12
-47,9,11,7.2,4,-12
-47,8,11,6.6,4,-12
-47,9,11,7.3,4,-12
-48,9,11,7,4,-12
-48,9,10,6.7,3,-12
-48,9,11,7.1,6,-12
-47,8,11,6.6,3,-12
-47,9,11,6.7,4,-12
-47,9,11,6.9,4,-12
-47,9,11,7.1,5,-12
-47,9,11,6.9,4,-12
-47,9,11,7.1,4,-12
-46,9,11,7,4,-12
-47,9,11,6.7,4,-12
-48,8,11,6.3,4,-12
-47,9,11,6.7,4,-12
-47,9,11,7.2,4,-12
-47,8,11,6.6,4,-12
-48,8,11,6.6,4,-12
-47,9,11,6.7,4,-12
-46,9,11,6.8,4,-12
-47,9,11,6.9,4,-12
-47,9,11,6.9,4,-12
-46,10,11,7.5,4,-12
-46,9,11,7.2,4,-12
