DISTANCE,RSRP_mean,RSRP_var,MCS_mean,MCS_var,SINR_mean,SINR_var,DL Brate_mean,DL Brate_var,BLER_mean,BLER_var
-12,-59.02,0.2648979591836761,5.6,0.28571428571428575,7.02,0.019999999999999962,4.602,0.05366938775510204,4.26,1.053469387755102
-10,-63.04,0.03918367346938809,5.44,0.3330612244897959,7.0,0.0,4.622,0.18256734693877555,3.98,0.9587755102040812
-8,-67.1,7.479591836734686,2.36,14.969795918367346,9.2,16.40816326530612,1.14256,0.08994980244897953,3.32,70.22204081632651
-6,-65.06,0.5881632653061382,5.98,0.18326530612244898,7.0,0.0,5.02,0.10979591836734694,3.82,3.048571428571429
-4,-61.18,0.15061224489795996,5.72,0.32816326530612255,7.0,0.0,4.67,0.08785714285714281,4.06,0.8330612244897955
-2,-60.86,0.2453061224489794,0.18,0.19142857142857145,7.0,0.0,1.5419999999999998,0.00779183673469388,0.26,1.094285714285714
0,-59.46,0.8657142857142848,6.26,3.6657142857142864,7.3,3.9285714285714275,4.946000000000001,0.6184530612244896,4.24,31.573877551020416
2,-61.18,0.19142857142857125,5.24,0.47183673469387755,7.0,0.0,4.478,0.12297551020408151,3.76,1.24734693877551
4,-63.96,0.03918367346938764,6.48,0.2955102040816327,7.0,0.0,5.36,0.017142857142857144,3.8,2.3673469387755106
6,-63.2,0.20408163265306573,5.96,0.1616326530612245,7.0,0.0,4.92,0.0673469387755103,4.08,1.544489795918367
8,-66.8,0.6938775510204128,5.46,2.6208163265306124,7.26,1.461632653061226,4.5680000000000005,0.910791836734694,3.78,21.726122448979577
10,-65.36,0.2759183673469377,0.66,0.22897959183673475,7.0,0.0,1.702,0.014485714285714274,0.18,0.6404081632653061
12,-68.18,19.211836734694003,2.86,5.633061224489795,7.46,2.620816326530612,2.58618,3.685115456734695,2.98,11.856734693877547
