RSRP, MCS,SINR,DL Brate,BLER,DISTANCE
-60,3,7,2.8,0,0
-60,5,7,4.4,0,0
-60,6,7,5.4,3,0
-54,17,21,2.5,40,0
-59,2,8,2,3,0
-59,3,7,3,0,0
-60,5,7,4.5,1,0
-60,7,7,5.3,5,0
-60,6,7,5.3,0,0
-59,7,7,5.4,6,0
-60,6,7,5.4,2,0
-60,6,7,5.4,3,0
-60,7,7,5.3,7,0
-59,7,7,5.4,6,0
-60,6,7,5.2,5,0
-60,6,7,4.9,4,0
-60,6,7,4.8,3,0
-60,6,7,5.4,2,0
-60,7,7,5.3,6,0
-60,6,7,5,5,0
-59,6,7,5.1,3,0
-59,6,7,5.4,3,0
-59,6,7,5.2,3,0
-59,7,7,5.2,6,0
-59,6,7,5.1,4,0
-59,7,7,4.7,8,0
-60,4,7,4,0,0
-59,6,7,5,3,0
-60,6,7,5.1,4,0
-60,6,7,5.2,4,0
-60,6,7,5.2,1,0
-59,7,7,5.4,4,0
-59,7,7,5.4,6,0
-60,6,7,5.4,2,0
-59,6,7,5.4,3,0
-59,7,7,5.4,4,0
-60,7,7,5.3,5,0
-60,7,7,5.4,3,0
-59,6,7,5.4,2,0
-59,6,7,5.4,3,0
-59,7,7,5.3,8,0
-59,6,7,5.2,4,0
-60,7,7,5.4,4,0
-59,8,7,5.2,7,0
-60,5,7,4.5,1,0
-60,7,7,4.7,8,0
-60,5,7,4.4,0,0
-59,7,7,5.3,5,0
-60,6,7,5.4,2,0
-60,6,7,5.5,1,0
-60,2,7,2.5,0,2
-61,4,7,4,0,2
-61,5,7,4.4,2,2
-61,5,7,4.2,5,2
-61,6,7,4.6,4,2
-61,5,7,4.4,4,2
-61,5,7,4.5,3,2
-61,6,7,4.7,4,2
-61,6,7,4.7,4,2
-61,6,7,4.7,4,2
-61,5,7,4.4,2,2
-61,6,7,4.6,4,2
-61,5,7,4.5,4,2
-61,5,7,4.4,3,2
-61,5,7,4.3,3,2
-62,5,7,4.5,4,2
-61,6,7,4.7,5,2
-61,5,7,4.5,3,2
-62,6,7,5,5,2
-61,5,7,4.5,3,2
-61,6,7,4.7,5,2
-61,5,7,4.6,4,2
-62,5,7,4.4,3,2
-61,5,7,4.3,3,2
-61,6,7,4.7,5,2
-61,5,7,4.5,4,2
-61,5,7,4.6,3,2
-62,5,7,4.4,4,2
-61,6,7,4.9,4,2
-61,5,7,4.6,4,2
-62,6,7,4.7,5,2
-62,5,7,4.5,4,2
-61,6,7,4.9,4,2
-62,5,7,4.5,5,2
-61,5,7,4.4,4,2
-61,5,7,4.5,4,2
-61,5,7,4.2,5,2
-61,5,7,4,4,2
-61,5,7,4.2,4,2
-61,5,7,4.4,2,2
-61,6,7,4.6,4,2
-62,5,7,4.5,4,2
-62,5,7,4.4,5,2
-61,5,7,4.7,3,2
-61,5,7,4.4,5,2
-61,5,7,4.6,4,2
-62,5,7,4.5,4,2
-61,6,7,4.8,4,2
-61,6,7,4.6,5,2
-61,6,7,4.7,4,2
-59,0,7,1.5,0,-2
-60,0,7,1.5,0,-2
-60,0,7,1.6,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-62,0,7,1.5,0,-2
-61,0,7,1.4,0,-2
-61,1,7,1.8,0,-2
-61,1,7,1.7,0,-2
-61,2,7,1.5,4,-2
-61,0,7,1.4,0,-2
-60,0,7,1.5,0,-2
-61,0,7,1.4,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.4,0,-2
-60,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-61,1,7,1.5,5,-2
-61,0,7,1.4,0,-2
-60,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-60,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.5,0,-2
-60,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.6,0,-2
-61,1,7,1.6,4,-2
-61,1,7,1.4,0,-2
-61,1,7,1.4,0,-2
-61,0,7,1.5,0,-2
-62,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-61,1,7,1.7,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-61,0,7,1.4,0,-2
-61,0,7,1.5,0,-2
-61,0,7,1.6,0,-2
-64,6,7,5.4,1,4
-64,7,7,5.4,5,4
-64,7,7,5.4,5,4
-64,6,7,5.4,3,4
-64,7,7,5.4,4,4
-64,7,7,5.4,4,4
-64,6,7,5.4,4,4
-64,7,7,5.4,5,4
-64,7,7,5.4,4,4
-64,7,7,5.4,5,4
-64,6,7,5,4,4
-64,6,7,5.5,1,4
-64,7,7,5.4,5,4
-64,7,7,5.4,4,4
-64,6,7,5.5,0,4
-64,7,7,5.4,4,4
-64,6,7,5.4,4,4
-64,6,7,5.4,4,4
-64,7,7,5.3,5,4
-64,6,7,5.4,3,4
-64,6,7,5.4,4,4
-64,7,7,5.4,4,4
-64,6,7,5.4,4,4
-64,7,7,5.2,7,4
-64,6,7,4.9,5,4
-64,6,7,5.4,1,4
-64,6,7,5.4,1,4
-64,6,7,5.4,4,4
-64,7,7,5.4,4,4
-64,7,7,5.3,5,4
-63,6,7,5.4,2,4
-64,7,7,5.4,4,4
-64,7,7,5.3,7,4
-64,6,7,5.4,2,4
-64,6,7,5.4,3,4
-64,6,7,5.4,4,4
-64,7,7,5.4,5,4
-64,6,7,5.4,4,4
-64,7,7,5.4,4,4
-63,6,7,5.4,4,4
-64,7,7,5.4,4,4
-64,6,7,5.4,3,4
-64,7,7,5.4,4,4
-64,7,7,5.3,7,4
-64,7,7,5.2,6,4
-64,5,7,4.8,2,4
-64,6,7,5.4,3,4
-64,6,7,5.5,1,4
-64,7,7,5.4,4,4
-64,7,7,5.4,4,4
-61,3,7,3.3,0,-4
-62,5,7,4.3,2,-4
-61,6,7,4.8,4,-4
-61,6,7,4.7,4,-4
-61,5,7,4.4,5,-4
-61,6,7,4.7,5,-4
-61,5,7,4.5,3,-4
-61,6,7,4.8,5,-4
-62,5,7,4.5,4,-4
-62,6,7,4.7,4,-4
-62,6,7,4.6,4,-4
-61,6,7,4.6,4,-4
-61,6,7,4.9,3,-4
-61,5,7,4.5,3,-4
-61,6,7,4.9,4,-4
-61,5,7,4.6,4,-4
-61,6,7,4.8,4,-4
-61,5,7,4.3,5,-4
-62,6,7,4.9,4,-4
-62,6,7,4.8,4,-4
-61,6,7,4.7,4,-4
-61,6,7,4.8,5,-4
-61,6,7,5.2,4,-4
-61,6,7,4.7,5,-4
-62,6,7,4.8,4,-4
-61,5,7,4.4,5,-4
-61,6,7,4.6,4,-4
-61,5,7,4.3,4,-4
-61,6,7,4.8,4,-4
-61,6,7,4.7,4,-4
-61,6,7,4.7,4,-4
-61,6,7,4.9,4,-4
-61,6,7,4.7,5,-4
-61,6,7,4.9,5,-4
-61,6,7,4.7,5,-4
-61,5,7,4,3,-4
-61,6,7,4.7,4,-4
-61,6,7,4.7,5,-4
-61,6,7,5,3,-4
-61,6,7,4.9,5,-4
-61,6,7,4.6,4,-4
-62,6,7,4.6,5,-4
-61,6,7,4.7,4,-4
-61,6,7,5,4,-4
-61,6,7,5,4,-4
-61,5,7,4.5,4,-4
-61,6,7,5.1,3,-4
-61,6,7,4.6,5,-4
-61,6,7,4.8,4,-4
-62,6,7,4.8,5,-4
-63,6,7,4.9,4,6
-63,6,7,5.1,5,6
-64,6,7,5,4,6
-64,6,7,5.1,3,6
-64,7,7,5.4,5,6
-64,6,7,5,6,6
-64,6,7,5.1,4,6
-64,6,7,5.1,5,6
-64,6,7,4.8,4,6
-63,6,7,4.9,5,6
-63,5,7,4.5,3,6
-63,6,7,5,4,6
-63,6,7,4.9,5,6
-63,5,7,4.5,3,6
-63,6,7,4.8,4,6
-63,6,7,4.8,4,6
-63,6,7,5,3,6
-63,6,7,4.7,6,6
-63,6,7,5,4,6
-63,5,7,4.7,2,6
-63,6,7,5.4,0,6
-63,7,7,5.3,6,6
-64,6,7,4.8,6,6
-64,6,7,5.2,3,6
-63,6,7,4.4,6,6
-63,6,7,5.1,3,6
-63,6,7,4.9,5,6
-63,6,7,5,5,6
-63,6,7,4.7,5,6
-64,6,7,4.7,4,6
-64,6,7,4.8,4,6
-63,6,7,4.7,4,6
-63,6,7,5.2,4,6
-63,6,7,5.1,4,6
-63,6,7,5,5,6
-63,6,7,5,2,6
-63,5,7,4.7,2,6
-63,7,7,5.3,6,6
-63,6,7,4.7,4,6
-63,6,7,5,4,6
-63,6,7,4.8,5,6
-63,6,7,4.8,3,6
-62,6,7,4.6,5,6
-63,6,7,4.7,4,6
-63,6,7,5.3,4,6
-63,6,7,5.1,5,6
-63,6,7,4.8,4,6
-63,5,7,4.3,3,6
-63,6,7,4.8,4,6
-63,6,7,5.5,2,6
-65,5,7,4.5,1,-6
-65,6,7,5.2,4,-6
-65,6,7,5,3,-6
-65,5,7,4.6,5,-6
-64,6,7,5.4,3,-6
-65,6,7,4.8,5,-6
-65,6,7,5.3,1,-6
-65,7,7,5.3,6,-6
-65,6,7,5.2,5,-6
-64,6,7,4.7,3,-6
-64,6,7,4.9,3,-6
-64,6,7,4.6,5,-6
-64,6,7,5,4,-6
-64,6,7,5.1,2,-6
-64,6,7,4.8,5,-6
-64,6,7,5.1,2,-6
-64,6,7,5.2,5,-6
-64,6,7,4.9,5,-6
-64,6,7,4.8,4,-6
-64,6,7,4.9,2,-6
-66,6,7,5.3,4,-6
-66,6,7,5,5,-6
-66,6,7,5.3,2,-6
-65,7,7,5.3,5,-6
-65,6,7,4.8,3,-6
-65,6,7,5.2,4,-6
-65,6,7,5.1,4,-6
-66,6,7,5.1,3,-6
-66,6,7,5.2,4,-6
-65,6,7,5.2,2,-6
-66,6,7,5.4,3,-6
-64,6,7,5.1,7,-6
-66,6,7,5.4,2,-6
-66,6,7,4.5,7,-6
-66,6,7,4.7,4,-6
-65,5,7,4.6,4,-6
-66,6,7,5.2,3,-6
-66,5,7,3.7,7,-6
-65,5,7,4.5,1,-6
-65,6,7,4.8,4,-6
-65,6,7,5.5,1,-6
-66,6,7,5.4,3,-6
-66,7,7,5.2,8,-6
