DISTANCE,RSRP_mean,RSRP_var,MCS_mean,MCS_var,SINR_mean,SINR_var,DL Brate_mean,DL Brate_var,BLER_mean,BLER_var
-12,-55.5,0.49999999999999956,5.78,0.8281632653061236,8.14,0.9800000000000001,4.65,0.4176530612244901,4.08,1.503673469387755
-10,-58.66,0.35142857142857203,5.7,0.6632653061224494,7.04,0.07999999999999997,4.588,0.18271020408163277,4.28,4.28734693877551
-8,-64.56,0.3330612244897943,5.96,0.9779591836734699,7.0,0.0,5.084,0.4581061224489797,3.44,4.414693877551021
-6,-63.32,0.2220408163265291,5.98,0.019999999999999973,7.0,0.0,4.878,0.032363265306122505,4.12,0.6791836734693877
-4,-62.94,0.05755102040816331,5.78,0.7465306122448985,7.0,0.0,4.736,0.32398367346938794,3.82,1.538367346938776
-2,-55.3,0.7040816326530578,5.96,1.8759183673469393,7.34,2.555510204081635,4.8919999999999995,0.622791836734693,3.3,9.846938775510207
0,-57.16,0.5453061224489828,5.82,0.31387755102040815,7.52,0.25469387755102035,4.788,0.1594448979591836,3.86,0.9799999999999998
2,-56.32,1.4465306122448978,6.02,3.7342857142857153,8.06,6.30244897959184,4.6739999999999995,0.513391836734694,4.8,27.0204081632653
4,-58.1,0.6632653061224496,5.86,0.3677551020408163,7.06,0.057551020408163386,4.776,0.12675918367346953,4.1,0.9489795918367344
6,-55.6,11.959183673469372,6.76,2.4310204081632656,7.6,0.530612244897959,5.337999999999999,1.140363265306122,3.6,2.408163265306123
8,-64.96,0.9371428571428563,5.8,0.5306122448979599,7.24,2.8800000000000012,4.87212,0.6063912506122447,4.28,6.328163265306125
10,-70.3,2.255102040816319,1.52,2.7853061224489792,7.24,3.451428571428571,1.4603,0.19464123469387748,3.08,17.054693877551028
12,-65.58,0.33020408163265746,6.24,0.1861224489795918,7.0,0.0,5.334,0.011269387755102058,3.74,3.053469387755103
