RSRP, MCS,SINR,DL Brate,BLER,DISTANCE
-61,6,7,4.9,3,0
-62,6,7,4.3,4,0
-62,6,7,4.7,3,0
-62,6,7,4.7,4,0
-62,6,7,4.4,4,0
-62,6,7,4.8,4,0
-61,6,7,5.1,4,0
-61,6,7,4.5,4,0
-61,6,7,4.2,5,0
-61,4,7,4,0,0
-61,5,7,4.2,0,0
-61,5,7,4.4,0,0
-61,5,7,4.6,0,0
-61,5,7,4.5,3,0
-61,5,7,4.5,4,0
-61,6,7,4.7,4,0
-61,6,7,4.8,4,0
-61,5,7,4.4,4,0
-61,6,7,4.7,3,0
-62,6,7,5.1,2,0
-62,6,7,5,3,0
-62,5,7,4.4,1,0
-62,5,7,4.2,0,0
-62,5,7,4.6,3,0
-61,5,7,4.5,3,0
-62,5,7,4.6,2,0
-62,4,7,3.8,1,0
-61,5,7,4.2,0,0
-62,5,7,4.5,1,0
-62,5,7,4.6,2,0
-62,6,7,4.6,4,0
-62,6,7,4.9,4,0
-62,5,7,4.5,2,0
-62,6,7,4.9,3,0
-61,5,7,3.6,5,0
-62,5,7,4.3,0,0
-61,5,7,4.3,0,0
-61,6,7,5,2,0
-61,6,7,4.9,3,0
-61,6,7,4.8,3,0
-61,6,7,4.9,2,0
-61,5,7,4.7,1,0
-61,5,7,4.7,2,0
-61,6,7,4.5,7,0
-62,5,7,4.4,0,0
-61,5,7,4.4,0,0
-62,4,8,4.1,0,0
-62,4,7,3.5,0,0
-62,5,7,4.3,0,0
-62,5,7,4.7,1,0
-63,6,7,5.4,2,2
-62,7,7,5.4,4,2
-63,7,7,5.4,4,2
-63,7,7,5.3,6,2
-63,7,7,5,8,2
-63,5,7,4.6,1,2
-62,6,7,5.1,2,2
-62,6,7,5.4,3,2
-61,6,7,4.9,6,2
-61,6,7,5.3,2,2
-63,6,7,5.5,0,2
-62,6,7,5.3,4,2
-62,6,7,5.4,3,2
-62,6,7,5.4,4,2
-62,7,7,5.3,6,2
-61,7,7,5.4,5,2
-62,6,7,5.4,3,2
-61,6,7,5.4,2,2
-61,6,7,5,4,2
-61,6,7,4.6,5,2
-61,6,7,5.1,2,2
-61,7,7,5.3,5,2
-61,5,7,4.4,2,2
-61,6,7,4.8,4,2
-61,6,7,5.1,3,2
-61,6,7,5.3,5,2
-61,6,7,5,2,2
-61,6,7,5.1,4,2
-61,6,7,5.2,4,2
-61,6,7,5.3,3,2
-61,7,7,5.4,4,2
-61,6,7,5,6,2
-61,6,7,4.8,4,2
-61,5,7,4.6,3,2
-61,6,7,4.7,3,2
-62,6,7,5.4,2,2
-61,6,7,5.1,6,2
-62,5,7,4.7,1,2
-62,6,7,5,4,2
-61,5,7,4.6,3,2
-61,6,7,5.1,4,2
-61,6,7,5.3,2,2
-62,6,7,4.9,5,2
-60,6,7,5,5,2
-60,6,7,4.9,3,2
-61,7,7,4.7,7,2
-62,5,7,4.2,0,2
-62,5,7,4.2,3,2
-61,6,7,5.1,3,2
-62,6,7,5.2,3,2
-54,1,8,1.7,0,-2
-53,1,8,1.9,0,-2
-53,2,8,2.1,0,-2
-53,2,8,2.1,0,-2
-53,4,8,3.5,0,-2
-53,4,8,3.7,0,-2
-53,5,9,4.2,0,-2
-53,4,8,3.7,0,-2
-52,4,9,3.9,0,-2
-53,3,8,2.9,0,-2
-54,1,8,1.7,0,-2
-53,0,8,1.6,0,-2
-52,0,9,1.7,0,-2
-53,0,9,1.5,0,-2
-53,0,9,1.5,0,-2
-53,0,9,1.6,0,-2
-52,0,8,1.5,0,-2
-54,0,8,1.5,0,-2
-52,1,8,1.8,0,-2
-53,0,8,1.6,0,-2
-53,0,8,1.6,0,-2
-53,0,9,1.5,0,-2
-54,0,9,1.4,0,-2
-53,0,8,1.5,0,-2
-54,1,8,1.9,0,-2
-51,0,17,0.88,0,-2
-46,1,31,0,-45,-2
-52,7,17,2.1,16,-2
-55,1,8,1.6,2,-2
-54,1,8,1.3,0,-2
-55,0,8,1.4,0,-2
-57,0,8,1.4,0,-2
-55,0,8,1.4,0,-2
-55,2,8,1.4,5,-2
-57,1,8,1.3,0,-2
-55,0,8,1.4,0,-2
-55,0,8,1.4,0,-2
-52,2,18,0.931,5,-2
-55,2,8,1.6,0,-2
-55,0,8,1.7,0,-2
-54,4,8,3.6,0,-2
-54,3,8,3.4,0,-2
-53,6,8,5.4,0,-2
-56,3,8,3.2,0,-2
-55,2,8,2.6,0,-2
-55,3,8,2.9,0,-2
-55,2,8,2.7,0,-2
-55,4,8,2.9,5,-2
-55,3,8,3.1,0,-2
-55,3,8,3,0,-2
-62,2,7,2.7,0,4
-63,5,7,4.2,0,4
-63,6,7,5.4,3,4
-62,6,7,4.9,5,4
-62,6,7,5.3,4,4
-62,6,7,5,4,4
-63,6,7,5,4,4
-63,6,7,4.8,5,4
-63,6,7,5.1,4,4
-63,6,7,4.2,6,4
-63,5,7,4.5,0,4
-63,6,7,4.8,5,4
-63,6,7,4.6,4,4
-63,6,7,4.9,2,4
-63,6,7,5.1,3,4
-63,6,7,5,5,4
-63,6,7,4.8,5,4
-63,6,7,4.9,4,4
-63,6,7,5.3,1,4
-63,7,7,5.4,5,4
-63,7,7,5.1,7,4
-63,6,7,5,3,4
-63,6,7,4.9,4,4
-64,6,7,5,4,4
-64,6,7,4.9,5,4
-63,6,7,4.8,3,4
-63,6,7,4.7,3,4
-63,6,7,4.5,4,4
-63,6,7,4.4,6,4
-64,5,7,4.8,0,4
-64,6,7,5.3,4,4
-64,7,7,5.3,6,4
-64,7,7,5.3,6,4
-63,6,7,4.6,4,4
-64,6,7,5.3,1,4
-64,6,7,5.4,2,4
-63,7,7,5.3,9,4
-63,6,7,5,5,4
-64,6,7,5.2,4,4
-63,6,7,4.9,4,4
-63,6,7,5,4,4
-63,5,7,4.8,1,4
-63,7,7,5.3,5,4
-63,6,7,4.9,5,4
-63,6,7,4.7,4,4
-63,6,7,4.7,3,4
-63,6,7,4.9,4,4
-62,6,7,5,5,4
-62,6,7,5.1,4,4
-63,6,7,5,3,4
-54,6,8,5,0,-4
-54,6,8,5.3,3,-4
-54,7,8,5.3,5,-4
-54,7,8,5.3,4,-4
-54,6,8,5.3,4,-4
-54,7,8,5.3,5,-4
-54,7,8,5.3,4,-4
-54,7,8,5.4,5,-4
-54,7,8,5.4,4,-4
-54,7,8,5.4,4,-4
-54,7,8,5.4,5,-4
-56,6,8,5.1,3,-4
-55,6,8,5.1,4,-4
-55,6,8,5.2,4,-4
-56,6,8,5.2,3,-4
-56,6,8,5.1,4,-4
-55,6,8,5.3,4,-4
-55,6,8,5.1,5,-4
-55,6,8,5.2,4,-4
-56,6,8,4.7,4,-4
-56,6,8,5.1,4,-4
-55,6,8,5,4,-4
-55,6,8,5.2,5,-4
-55,7,8,5.4,4,-4
-55,7,8,5.4,4,-4
-54,7,8,5.4,4,-4
-54,7,8,5.4,4,-4
-54,6,8,5.1,5,-4
-54,7,8,5.4,4,-4
-54,7,8,5.3,4,-4
-55,7,8,5.4,4,-4
-55,6,8,5.3,4,-4
-55,7,8,5.2,8,-4
-55,6,8,5.3,0,-4
-55,7,8,5.4,4,-4
-55,6,8,5.1,4,-4
-55,6,8,5.2,4,-4
-55,7,8,5.4,4,-4
-55,7,8,5.3,5,-4
-55,7,8,5.4,4,-4
-55,7,8,5.4,4,-4
-55,7,8,5.4,4,-4
-55,6,8,5.2,4,-4
-56,6,8,5.1,4,-4
-55,6,8,5.3,4,-4
-55,6,8,5.3,5,-4
-57,6,8,5.2,3,-4
-56,6,8,4.9,5,-4
-56,6,8,5,4,-4
-56,6,8,4.8,4,-4
-67,4,7,3.4,4,6
-67,3,7,2.7,1,6
-68,4,6,3.5,2,6
-67,4,7,3.3,4,6
-63,2,12,1.1,9,6
-66,1,7,1.6,2,6
-67,2,7,2.1,0,6
-67,1,7,1.8,0,6
-67,2,7,2.1,0,6
-67,4,7,3.4,1,6
-65,4,7,3.7,4,6
-66,4,7,3.8,4,6
-67,3,7,2.6,3,6
-66,2,7,2,0,6
-66,1,7,1.7,0,6
-65,1,8,1.6,2,6
-66,1,7,1.6,0,6
-65,2,8,1.7,5,6
-66,0,7,1.4,0,6
-67,2,6,2.1,0,6
-67,3,6,2.6,4,6
-67,4,6,3.7,1,6
-66,4,6,3.4,5,6
-65,1,6,1.6,0,6
-66,2,7,1.5,4,6
-67,0,6,1.3,0,6
-66,1,7,1.5,0,6
-65,3,10,1.6,8,6
-67,0,6,1.5,0,6
-66,1,6,2,0,6
-65,2,7,2.5,1,6
-65,3,7,2.9,1,6
-67,4,6,3.9,0,6
-66,5,7,4.3,3,6
-66,5,7,3.9,6,6
-66,4,7,3.8,3,6
-66,4,7,4,2,6
