TimeIndex,PDP
0,6.663547469985176e-12
1,4.547069644451455e-12
2,6.41711487194386e-13
3,5.0307580966522506e-12
4,5.587689816470402e-13
5,2.3375031248604572e-11
6,1.4023824835420284e-11
7,3.0390326007665106e-12
8,2.5613492216287436e-12
9,3.5013693688401674e-11
10,6.05748091913503e-11
11,9.817384281205951e-12
12,1.0290721276953862e-11
13,7.633105828030036e-11
14,1.9993068023566552e-10
15,2.1000029854476332e-10
16,3.22049990176013e-11
17,4.890797186368719e-12
18,1.072233096945071e-10
19,2.542815615792647e-10
20,4.201424071858176e-11
21,3.1895395703078465e-11
22,3.195290673674915e-11
23,1.4822739576882355e-10
24,6.48367658778332e-11
25,2.2062960024630626e-11
26,1.8959764883246143e-11
27,9.634360478624185e-11
28,1.6545103277642058e-10
29,5.990584178698393e-12
30,2.2085147812898113e-11
31,1.090985615967148e-11
32,5.7984939245152886e-11
33,4.4051893099733e-11
34,3.543483981299815e-11
35,6.406477570080552e-12
36,4.1161246065525983e-11
37,7.459837975510515e-11
38,1.727914111377464e-11
39,1.7441597033191686e-11
40,1.3301401897352714e-11
41,6.605080382052656e-11
42,4.516783409634976e-11
43,4.281782391051466e-11
44,2.6682362239512255e-11
45,4.185968670205006e-11
46,4.962670036950664e-11
47,8.18513486967906e-11
48,4.146481099275873e-11
49,2.8890095943268196e-11
50,3.718987629361629e-11
51,4.623272251136603e-12
52,1.0443123176922557e-11
53,1.8196614216152478e-11
54,3.9133238712449576e-11
55,1.2530729516097476e-11
56,1.6026989875165956e-11
57,3.0620754662558718e-12
58,1.3873420223989525e-11
59,1.568529639202616e-11
60,3.5539006551387057e-12
61,3.8436539385730596e-12
62,1.2788235780620416e-11
63,4.1912249850484145e-11
64,1.6643059678242887e-11
65,1.4533086850394798e-11
66,3.5472253503607406e-11
67,3.64579384653783e-11
68,1.1936869270764844e-11
69,4.424338369010999e-12
70,1.844475487680419e-11
71,3.4554300396400337e-11
72,5.041050969192836e-11
73,3.872192171054675e-13
74,3.9783383853688305e-11
75,2.994986379289932e-11
76,4.908669043403067e-11
77,1.4323550890952562e-11
78,7.296761073625903e-12
79,3.760424828207208e-12
80,3.438236419100503e-11
81,2.795786071880227e-11
82,9.15436357272816e-13
83,1.1700396949302975e-11
84,1.512086401655076e-11
85,2.905921642835396e-11
86,1.0468491622863056e-11
87,2.4627103077203233e-12
88,9.847374242951016e-12
89,3.1115395618690685e-11
90,3.751574828523924e-13
91,1.1797228022902796e-11
92,1.0966743717147285e-13
93,1.7542419599074888e-11
94,6.9183654912777726e-12
95,1.4774031837989176e-12
96,1.6937862601513817e-13
97,6.3828951082587835e-12
98,8.701171159752363e-12
99,3.8682594865480775e-12
100,6.333051373011537e-12
101,1.5881603869529586e-12
102,8.202723995182932e-12
103,9.862665888793693e-12
104,1.2794170059808453e-12
105,4.273289788343758e-12
106,1.0820383653044889e-11
107,1.5164958075276103e-11
108,3.3586109787276597e-12
109,8.163838691803938e-12
110,5.714286850159729e-13
111,3.733327784467446e-12
112,1.5789658473291257e-11
113,1.0933936128526182e-11
114,6.184630949718983e-12
115,6.289670036820577e-12
116,1.0641972897663756e-11
117,4.272693985076597e-12
118,1.6425698824395924e-12
119,4.534070517440054e-12
120,8.516686448041301e-12
121,4.1142870735128324e-12
122,5.000768878004988e-13
123,1.1519399248138577e-13
124,8.332116133701107e-13
125,2.534140589592317e-12
126,2.9923108342075892e-12
127,1.8506226914340132e-12
128,3.7282220199918596e-13
129,4.0010276637129863e-13
130,1.3841329646121784e-12
131,1.4602170898341265e-12
132,1.9713793335487154e-12
133,1.5329787677971648e-12
134,2.353117137786787e-12
135,2.2274489019442694e-12
136,2.1260821158345083e-14
137,2.152999664434728e-12
138,1.7227355872346665e-12
139,3.0177561070612106e-13
140,1.6092855473321056e-13
141,5.161490204733416e-13
142,4.862786989130627e-13
143,3.970271063709399e-13
144,5.339220561765251e-12
145,6.6789394991330856e-12
146,4.879695830387372e-12
147,2.424455864834556e-12
148,1.5531037404451696e-12
149,1.5514947151665066e-12
150,3.072134566663559e-12
