DISTANCE,RSRP_mean,RSRP_var,MCS_mean,MCS_var,SINR_mean,SINR_var,DL Brate_mean,DL Brate_var,BLER_mean,BLER_var,Condition
-12,-59.02,0.2648979592,5.6,0.2857142857,7.02,0.02,4.602,0.05366938776,4.26,1.053469388,Empty
-10,-63.04,0.03918367347,5.44,0.3330612245,7,0,4.622,0.1825673469,3.98,0.9587755102,Empty
-8,-67.1,7.479591837,2.36,14.96979592,9.2,16.40816327,1.14256,0.08994980245,3.32,70.22204082,Empty
-6,-65.06,0.5881632653,5.98,0.1832653061,7,0,5.02,0.1097959184,3.82,3.048571429,Empty
-4,-61.18,0.1506122449,5.72,0.3281632653,7,0,4.67,0.08785714286,4.06,0.8330612245,Empty
-2,-60.86,0.2453061224,0.18,0.1914285714,7,0,1.542,0.007791836735,0.26,1.094285714,Empty
0,-59.46,0.8657142857,6.26,3.665714286,7.3,3.928571429,4.946,0.6184530612,4.24,31.57387755,Empty
2,-61.18,0.1914285714,5.24,0.4718367347,7,0,4.478,0.1229755102,3.76,1.247346939,Empty
4,-63.96,0.03918367347,6.48,0.2955102041,7,0,5.36,0.01714285714,3.8,2.367346939,Empty
6,-63.2,0.2040816327,5.96,0.1616326531,7,0,4.92,0.06734693878,4.08,1.544489796,Empty
8,-66.8,0.693877551,5.46,2.620816327,7.26,1.461632653,4.568,0.9107918367,3.78,21.72612245,Empty
10,-65.36,0.2759183673,0.66,0.2289795918,7,0,1.702,0.01448571429,0.18,0.6404081633,Empty
12,-68.18,19.21183673,2.86,5.633061224,7.46,2.620816327,2.58618,3.685115457,2.98,11.85673469,Empty
-12,-47.04,0.7330612245,8.76,0.3902040816,11.02,0.1424489796,6.866,0.1924938776,3.96,0.692244898,without_Potato
-10,-61.32,5.650612245,5.02,2.428163265,7.32,3.405714286,4.154,0.8894734694,4.14,12.2044898,without_Potato
-8,-59.9,0.6632653061,5.82,0.5587755102,7.02,0.02,4.75,0.2813265306,4,1.346938776,without_Potato
-6,-38.68,0.5485714286,4.36,3.867755102,16.32,1.201632653,4.354,1.993146939,0.02,0.02,without_Potato
