RSRP, MCS,SINR,DL Brate,BLER,DISTANCE
-58,3,8,2.6,4,0
-58,4,7,3.9,0,0
-57,6,8,5,3,0
-58,6,8,4.8,4,0
-58,6,7,4.7,4,0
-57,6,7,4.9,5,0
-56,5,8,4.5,4,0
-58,6,7,4.6,4,0
-57,6,8,4.9,5,0
-58,6,7,4.8,4,0
-58,6,7,5.3,3,0
-56,6,8,5.1,5,0
-58,6,8,5,3,0
-59,6,7,5.2,3,0
-58,6,8,4.9,3,0
-58,6,8,4.9,4,0
-56,6,8,5,3,0
-57,6,8,4.8,4,0
-57,5,7,4.4,4,0
-57,6,7,4.6,4,0
-57,6,7,4.9,4,0
-57,6,7,4.9,5,0
-58,6,7,5.1,4,0
-58,6,7,4.9,3,0
-57,6,7,5.2,5,0
-57,6,7,4.8,4,0
-57,6,7,4.7,4,0
-58,6,8,5,1,0
-57,6,8,5.1,6,0
-56,6,8,4.9,4,0
-57,6,7,4.8,5,0
-57,6,8,5.2,4,0
-57,6,8,5,4,0
-57,6,7,4.9,4,0
-58,6,7,4.7,4,0
-57,6,7,5.1,4,0
-57,6,7,5,4,0
-57,6,7,4.9,5,0
-56,6,8,4.8,4,0
-57,6,8,4.7,4,0
-57,6,7,4.6,4,0
-56,6,8,4.5,5,0
-57,6,7,5,4,0
-57,5,8,4.6,2,0
-58,6,8,4.6,3,0
-56,6,8,4.9,4,0
-57,6,8,4.7,4,0
-56,6,8,4.7,4,0
-56,5,8,4.5,4,0
-57,6,8,4.8,4,0
-51,18,25,1.5,40,2
-56,2,10,2,5,2
-55,2,8,2.8,0,2
-57,4,8,3.6,0,2
-57,5,7,4.4,2,2
-56,6,8,4.8,4,2
-57,6,7,5.1,5,2
-57,6,7,5.1,4,2
-57,6,8,5,4,2
-55,6,8,5.2,5,2
-57,5,8,4.5,4,2
-57,6,8,4.7,4,2
-57,6,8,4.9,5,2
-57,6,8,4.9,4,2
-57,6,7,4.7,3,2
-58,6,7,4.8,4,2
-58,6,7,4.7,6,2
-57,6,7,4.7,4,2
-57,6,7,4.6,4,2
-57,6,7,4.8,4,2
-57,6,7,4.8,5,2
-57,6,7,4.9,4,2
-57,6,7,5.1,4,2
-56,6,8,4.8,5,2
-55,6,8,4.9,5,2
-57,6,8,4.9,4,2
-57,6,8,4.9,3,2
-57,6,8,4.9,5,2
-57,6,7,4.7,5,2
-57,6,8,4.8,5,2
-57,6,8,4.7,3,2
-55,6,8,4.9,5,2
-57,6,8,4.6,5,2
-56,6,8,5,4,2
-56,6,8,5.1,4,2
-57,6,8,4.7,5,2
-56,6,8,4.9,4,2
-57,6,7,4.9,4,2
-56,6,8,4.6,4,2
-57,6,7,4.8,4,2
-57,6,8,4.9,5,2
-57,6,8,4.8,3,2
-56,6,7,5,4,2
-54,7,8,5.4,5,2
-55,6,8,5.1,4,2
-55,6,8,4.9,4,2
-56,6,8,5,4,2
-56,6,8,4.9,4,2
-55,6,8,5,5,2
-54,6,8,5,4,2
-55,1,7,1.9,0,-2
-55,3,7,3.3,0,-2
-55,5,7,4.6,0,-2
-56,6,7,5.5,2,-2
-52,11,16,4.2,16,-2
-52,6,14,2.8,14,-2
-55,2,7,2.5,0,-2
-56,4,7,3.7,0,-2
-55,6,7,4.7,3,-2
-55,6,7,5.3,4,-2
-56,6,7,5,3,-2
-55,6,7,5.2,4,-2
-56,6,7,5.2,3,-2
-56,6,7,5.2,5,-2
-56,6,7,5.2,4,-2
-56,6,7,5.3,3,-2
-56,7,7,5.2,5,-2
-56,5,8,4.4,0,-2
-55,6,7,4.7,2,-2
-56,6,7,4.6,3,-2
-56,6,7,4.8,2,-2
-56,6,7,5,2,-2
-56,6,7,5.1,5,-2
-55,6,7,5.1,3,-2
-55,6,7,4.7,4,-2
-56,6,7,5.5,2,-2
-56,6,7,4.8,5,-2
-56,7,7,5.4,4,-2
-56,6,7,5.4,2,-2
-55,6,7,5,5,-2
-55,5,7,4.4,1,-2
-55,6,7,4.7,4,-2
-56,6,7,5.3,0,-2
-56,7,7,5.4,4,-2
-56,6,7,5.5,1,-2
-55,7,7,5.4,4,-2
-55,6,7,5.3,3,-2
-55,6,7,5.3,4,-2
-55,7,7,5.4,3,-2
-55,6,7,5.5,1,-2
-55,7,7,5.4,5,-2
-55,7,7,5.3,7,-2
-55,6,7,5.5,0,-2
-55,7,7,5.4,3,-2
-55,7,7,5.2,7,-2
-56,6,7,5.1,1,-2
-55,6,7,5.1,0,-2
-55,6,7,5.5,1,-2
-55,6,7,5.5,3,-2
-55,7,7,5.1,8,-2
-58,2,7,2.6,0,4
-57,5,7,4.4,0,4
-58,6,7,4.9,5,4
-57,6,7,5,5,4
-56,6,8,4.9,4,4
-57,6,7,5.1,4,4
-58,6,7,4.9,5,4
-58,6,7,4.6,4,4
-57,6,8,4.8,4,4
-57,6,7,4.6,5,4
-58,6,7,4.8,5,4
-59,6,7,5.1,4,4
-58,6,7,4.8,4,4
-58,6,7,4.9,5,4
-59,6,7,4.9,4,4
-58,6,8,4.9,3,4
-58,6,7,5,4,4
-57,6,7,4.9,4,4
-57,6,7,4.9,5,4
-58,6,7,4.9,4,4
-58,6,7,4.9,5,4
-58,5,7,4.5,4,4
-58,6,7,4.9,4,4
-59,6,7,4.8,5,4
-58,6,7,4.7,4,4
-59,6,7,4.7,4,4
-59,6,7,4.9,4,4
-58,6,7,5.1,4,4
-58,6,7,5.1,4,4
-58,6,7,4.8,4,4
-58,6,7,5.1,5,4
-59,6,7,4.8,4,4
-58,5,7,4.4,4,4
-58,6,7,4.8,4,4
-58,6,7,4.5,5,4
-58,6,7,4.9,4,4
-60,6,7,4.8,4,4
-60,6,7,4.7,4,4
-59,6,7,4.7,5,4
-58,6,7,4.8,4,4
-58,6,7,4.9,4,4
-58,6,7,4.6,4,4
-60,6,7,4.7,5,4
-58,6,7,5,4,4
-58,6,7,4.8,4,4
-59,6,7,4.8,4,4
-58,6,7,4.8,5,4
-59,6,7,4.8,4,4
-58,6,7,4.7,4,4
-57,6,7,4.9,4,4
-63,2,7,2.3,0,-4
-63,2,7,2.3,0,-4
-63,4,7,3.8,0,-4
-63,6,7,4.8,3,-4
-63,6,7,5,3,-4
-63,6,7,4.9,6,-4
-63,6,7,4.6,4,-4
-63,6,7,4.9,4,-4
-63,6,7,4.9,5,-4
-63,6,7,5,3,-4
-63,6,7,5.1,4,-4
-63,6,7,4.8,5,-4
-63,6,7,4.7,3,-4
-63,6,7,4.8,4,-4
-63,5,7,4.5,4,-4
-63,5,7,4.4,3,-4
-63,6,7,4.9,4,-4
-63,6,7,5.1,4,-4
-63,6,7,5.1,5,-4
-63,6,7,5,4,-4
-63,6,7,4.6,5,-4
-63,6,7,4.7,4,-4
-63,6,7,5.1,3,-4
-63,6,7,4.8,5,-4
-63,6,7,4.8,5,-4
-63,6,7,5.2,2,-4
-63,7,7,5.4,4,-4
-63,6,7,4.6,5,-4
-63,6,7,4.6,5,-4
-63,6,7,5.3,4,-4
-63,6,7,5.1,5,-4
-63,6,7,4.5,5,-4
-63,6,7,4.8,4,-4
-62,6,7,4.6,4,-4
-62,6,7,5.1,4,-4
-62,6,7,4.8,3,-4
-63,6,7,4.8,5,-4
-63,6,7,4.8,4,-4
-63,6,7,4.9,3,-4
-63,6,7,4.5,4,-4
-63,6,7,5,4,-4
-63,6,7,5.1,4,-4
-63,6,7,4.9,4,-4
-63,6,7,4.5,4,-4
-63,6,7,4.6,3,-4
-63,6,7,5,4,-4
-63,6,7,4.9,4,-4
-63,6,7,4.8,4,-4
-63,6,7,5,5,-4
-63,6,7,5.1,4,-4
-57,3,8,2.4,3,6
-55,4,8,3.7,0,6
-57,5,8,4.6,0,6
-57,6,7,4.7,6,6
-57,5,8,4.4,0,6
-57,6,7,4.5,5,6
-59,6,7,4.6,3,6
-59,6,7,4.7,4,6
-61,6,7,4.7,3,6
-57,6,7,4.9,4,6
-52,7,8,5.6,4,6
-53,7,8,5.6,4,6
-51,8,8,6.2,3,6
-51,9,9,6.9,3,6
